baseline,dataset,time,parallel
GIO,aminer-author,2.44,true
GIO,aminer-author,2.42,false
GIO,aminer-paper,6.22,true
GIO,aminer-paper,6.12,false
GIO,message-hl7,6.74,true
GIO,message-hl7,6.86,false
GIO,autolead-xml,7.67,true
GIO,autolead-xml,7.55,false
