index,dataset_name,dbms,llm,total_queries,count,ratio,baseline,time
76,stats,PostgreSQL,-R-Bot-Gemini,146,144,0.99,PostgreSQL,2411
77,stats,PostgreSQL,-R-Bot-Gemini,146,146,1.0,PostgreSQL,3137
78,stats,PostgreSQL,-R-Bot-Gemini,146,146,mean,PostgreSQL,21.49
79,stats,PostgreSQL,-R-Bot-Gemini,146,146,median,PostgreSQL,28.78
80,imdb,PostgreSQL,-R-Bot-Gemini,113,28,0.25,PostgreSQL,121
81,imdb,PostgreSQL,-R-Bot-Gemini,113,56,0.5,PostgreSQL,148
82,imdb,PostgreSQL,-R-Bot-Gemini,113,84,0.75,PostgreSQL,158
83,imdb,PostgreSQL,-R-Bot-Gemini,113,107,0.95,PostgreSQL,3756
84,imdb,PostgreSQL,-R-Bot-Gemini,113,111,0.99,PostgreSQL,6145
85,imdb,PostgreSQL,-R-Bot-Gemini,113,113,1.0,PostgreSQL,6237
86,imdb,PostgreSQL,-R-Bot-Gemini,113,113,mean,PostgreSQL,55.20
87,imdb,PostgreSQL,-R-Bot-Gemini,113,113,median,PostgreSQL,101.69
88,imdb,PostgreSQL,-R-Bot-OSS-120B,113,28,0.25,PostgreSQL,106
89,imdb,PostgreSQL,-R-Bot-OSS-120B,113,56,0.5,PostgreSQL,129
90,imdb,PostgreSQL,-R-Bot-OSS-120B,113,84,0.75,PostgreSQL,140
91,imdb,PostgreSQL,-R-Bot-OSS-120B,113,107,0.95,PostgreSQL,166
92,imdb,PostgreSQL,-R-Bot-OSS-120B,113,111,0.99,PostgreSQL,394
93,imdb,PostgreSQL,-R-Bot-OSS-120B,113,113,1.0,PostgreSQL,720
94,imdb,PostgreSQL,-R-Bot-OSS-120B,113,113,mean,PostgreSQL,6.38
95,imdb,PostgreSQL,-R-Bot-OSS-120B,113,113,median,PostgreSQL,99.07
96,stats,PostgreSQL,-cc,146,36,0.25,PostgreSQL,4
97,stats,PostgreSQL,-cc,146,73,0.5,PostgreSQL,4
98,stats,PostgreSQL,-cc,146,109,0.75,PostgreSQL,5
99,stats,PostgreSQL,-cc,146,138,0.95,PostgreSQL,6
100,stats,PostgreSQL,-cc,146,144,0.99,PostgreSQL,6
101,stats,PostgreSQL,-cc,146,146,1.0,PostgreSQL,6
102,stats,PostgreSQL,-cc,146,146,mean,PostgreSQL,0.04
103,stats,PostgreSQL,-cc,146,146,median,PostgreSQL,2.90
104,imdb,PostgreSQL,-cc,87,21,0.25,PostgreSQL,31
105,imdb,PostgreSQL,-cc,87,43,0.5,PostgreSQL,35
106,imdb,PostgreSQL,-cc,87,65,0.75,PostgreSQL,54
107,imdb,PostgreSQL,-cc,87,82,0.95,PostgreSQL,662
108,imdb,PostgreSQL,-cc,87,86,0.99,PostgreSQL,7574
109,imdb,PostgreSQL,-cc,87,87,1.0,PostgreSQL,22130
110,imdb,PostgreSQL,-cc,87,87,mean,PostgreSQL,254.37
111,imdb,PostgreSQL,-cc,87,87,median,PostgreSQL,14.15
