index,query_id,start_time_x,planning_time_x,execution_time_x,execution_start_time_x,workload_time_x,ID_x,start_time_y,planning_time_y,execution_time_y,execution_start_time_y,workload_time_y,ID_y,diff,diffratio,PN
0,query58,2633.5622787475586,51.487,3135018.1848999998,3137652.2077557584,3526325.1492576194,0,2786.853575706482,0.0,3509212.3292446136,3511999.975180626,3511999.18282032,1,-374194.1443446139,-1.12,False
1,query70,3684.6997499465942,74.6832,77627.8747,81313.0350269577,3526325.1492576194,0,3586.1374139785767,0.0,134325.68275928497,137912.61253356934,3511999.18282032,1,-56697.80805928497,-1.73,False
2,query136,29669.71321105957,35.5532,115396.83729999998,145067.0110880707,3526325.1492576194,0,23403.56571674347,0.0,146308.6762189865,169713.03429603577,3511999.18282032,1,-30911.838918986527,-1.27,False
3,query71,3808.0090522766113,69.74980000000001,42089.5836,45898.05322928772,3526325.1492576194,0,3645.410370826721,0.0,57373.41513633728,61019.61786746979,3511999.18282032,1,-15283.831536337282,-1.36,False
4,query133,26217.430233955383,39.4604,57554.292,83772.18281096648,3526325.1492576194,0,19207.539534568787,0.0,71107.80110359192,90316.13299846649,3511999.18282032,1,-13553.509103591918,-1.24,False
5,query68,3548.527932167053,76.6892,247658.0824,251207.07090917818,3526325.1492576194,0,3466.3822412490845,0.0,259718.56858730316,263185.74318885803,3511999.18282032,1,-12060.486187303148,-1.05,False
6,query115,14706.295228004456,12.262899999999998,29562.792999999998,44269.54880501557,3526325.1492576194,0,11224.767327308655,0.0,39453.71530056,50679.27498817444,3511999.18282032,1,-9890.92230056,-1.33,False
7,query134,27336.30015850067,30.7385,21923.8459,49260.60663551178,3526325.1492576194,0,20383.33990573883,0.0,30128.287291526794,50512.41955757141,3511999.18282032,1,-8204.441391526794,-1.37,False
8,query69,3608.038878440857,81.40209999999999,52743.54349999999,56352.04295545196,3526325.1492576194,0,3512.9162549972534,0.0,58309.58499908447,61823.29361438751,3511999.18282032,1,-5566.04149908448,-1.11,False
9,query52,2196.169352531433,33.1733,98499.2815,100695.91142954254,3526325.1492576194,0,2403.2763957977295,0.0,103588.65549564362,105992.72425174713,3511999.18282032,1,-5089.373995643618,-1.05,False
10,query113,14027.941250801086,13.0915,18148.9712,32177.373027812195,3526325.1492576194,0,10695.199608802795,0.0,22792.22493171692,33488.2169008255,3511999.18282032,1,-4643.253731716919,-1.26,False
11,query15,69.9514627456665,106.71110000000002,4225.5223,4295.9343397567745,3526325.1492576194,0,27.246904373168945,0.0,6588.941955566406,6616.981220245361,3511999.18282032,1,-2363.4196555664066,-1.56,False
12,query135,28454.17983531952,35.5108,536547.4757999999,565002.1162123305,3526325.1492576194,0,21674.439334869385,0.0,538819.0982580185,560494.3299531937,3511999.18282032,1,-2271.6224580185954,-1.0,False
13,query84,7037.740898132324,5.4155999999999995,5832.9698,12871.171275143433,3526325.1492576194,0,5881.62841796875,0.0,7775.587034225464,13658.0078125,3511999.18282032,1,-1942.617234225464,-1.33,False
14,query93,8961.434602737427,4.9893,1973.5524,10935.447579748536,3526325.1492576194,0,7099.744272232056,0.0,3720.795249938965,10821.331882476807,3511999.18282032,1,-1747.2428499389648,-1.89,False
15,query64,3217.3722743988037,41.2178,1054.8163,4272.6491514099125,3526325.1492576194,0,3228.9929628372192,0.0,2452.3712635040283,5682.156586647034,3511999.18282032,1,-1397.5549635040284,-2.32,False
16,query129,23645.60148715973,67.3096,2027.5635000000002,25673.625564170834,3526325.1492576194,0,16869.54278945923,0.0,3404.150605201721,20274.485754966736,3511999.18282032,1,-1376.587105201721,-1.68,False
17,query131,24708.29610824585,36.7839,9051.7384,33760.49508525696,3526325.1492576194,0,18224.22797679901,0.0,10420.850563049316,28645.870900154114,3511999.18282032,1,-1369.1121630493162,-1.15,False
18,query23,120.58737277984619,103.33,702.2454,823.2933497909546,3526325.1492576194,0,64.93046283721924,0.0,2045.4965353012085,2111.219358444214,3511999.18282032,1,-1343.2511353012085,-2.91,False
19,query86,7458.0825090408325,7.5665000000000004,998.4385,8456.981586051941,3526325.1492576194,0,6126.633286476135,0.0,2261.8497610092163,8389.275407791138,3511999.18282032,1,-1263.4112610092163,-2.27,False
20,query121,17690.74501991272,8.4822,7883.0939,25574.299496923828,3526325.1492576194,0,13326.914691925049,0.0,9050.724577903748,22378.431630134583,3511999.18282032,1,-1167.6306779037477,-1.15,False
21,query8,27.997708320617676,102.8703,1680.7679,1709.2261853317261,3526325.1492576194,0,2.190423011779785,0.0,2805.4980754852295,2808.4808588027954,3511999.18282032,1,-1124.7301754852294,-1.67,False
22,query1,4.095315933227539,105.57919999999999,499.3335,503.88939294433595,3526325.1492576194,0,1.4594793319702148,0.0,1619.8827028274536,1622.13454246521,3511999.18282032,1,-1120.5492028274537,-3.24,False
23,query78,5376.321172714233,40.9345,663.7954,6040.577149725342,3526325.1492576194,0,4473.053550720215,0.0,1750.4273891448975,6224.273300170898,3511999.18282032,1,-1086.6319891448975,-2.64,False
24,query10,41.01831912994385,108.51020000000001,2787.3357,2828.8145961410523,3526325.1492576194,0,13.402962684631348,0.0,3798.0613708496094,3812.256693840027,3511999.18282032,1,-1010.7256708496093,-1.36,False
25,query145,47080.32076358795,71.2689,2209.9236,49290.70494059906,3526325.1492576194,0,39235.321950912476,0.0,3154.4909954071045,42390.605306625366,3511999.18282032,1,-944.5673954071044,-1.43,False
26,query2,0.0,98.7025,2344.546,2345.006577011108,3526325.1492576194,0,1.7505168914794922,0.0,3265.9791469573975,3268.522024154663,3511999.18282032,1,-921.4331469573976,-1.39,False
27,query12,53.64077091217041,117.35799999999999,1867.5106,1921.6119479232789,3526325.1492576194,0,14.094853401184082,0.0,2729.7032833099365,2744.5904970169067,3511999.18282032,1,-862.1926833099365,-1.46,False
28,query124,19460.45846939087,16.9607,17502.1604,36963.07944640198,3526325.1492576194,0,14586.380124092102,0.0,18359.34250354767,32946.51498794556,3511999.18282032,1,-857.1821035476678,-1.05,False
29,query66,3360.799527168274,53.6476,4565.6985,7926.958604179383,3526325.1492576194,0,3351.652669906616,0.0,5344.449186325073,8696.894216537476,3511999.18282032,1,-778.7506863250728,-1.17,False
30,query16,75.70219039916992,106.81099999999999,1176.9666,1253.1293674102783,3526325.1492576194,0,32.14719295501709,0.0,1849.5190858840942,1882.4586391448975,3511999.18282032,1,-672.5524858840943,-1.57,False
31,query14,65.06147384643555,114.6276,1131.7588,1197.280850857544,3526325.1492576194,0,22.28717803955078,0.0,1791.6385412216187,1814.7180795669556,3511999.18282032,1,-659.8797412216186,-1.58,False
32,query111,13443.089818954468,69.902,3471.3885999999998,16914.938995965575,3526325.1492576194,0,10146.993160247803,0.0,4088.733172416687,14236.518692970276,3511999.18282032,1,-617.3445724166872,-1.18,False
33,query6,15.50741195678711,98.8729,1328.1643,1344.1322889678954,3526325.1492576194,0,1.5539884567260742,0.0,1944.040584564209,1946.3869333267212,3511999.18282032,1,-615.8762845642091,-1.46,False
34,query24,125.99334716796875,99.2536,1128.6921,1255.1460241790771,3526325.1492576194,0,69.84891891479492,0.0,1737.7099752426147,1808.3512544631958,3511999.18282032,1,-609.0178752426148,-1.54,False
35,query13,59.375929832458496,115.2456,1230.5084,1290.3449068435668,3526325.1492576194,0,17.906832695007324,0.0,1808.396291732788,1827.0954847335815,3511999.18282032,1,-577.8878917327881,-1.47,False
36,query128,23029.595708847046,67.5517,1901.0107,24931.066985858153,3526325.1492576194,0,16556.854915618896,0.0,2468.3091163635254,19025.956392288208,3511999.18282032,1,-567.2984163635253,-1.3,False
37,query72,3929.6797275543213,85.724,3663.3188,7593.459104565431,3526325.1492576194,0,3688.82954120636,0.0,4223.810648918152,7913.432550430298,3511999.18282032,1,-560.4918489181518,-1.15,False
38,query94,9155.651783943176,4.8077,2417.2779,11573.390260954284,3526325.1492576194,0,7259.219264984131,0.0,2944.079351425171,10204.090976715088,3511999.18282032,1,-526.8014514251709,-1.22,False
39,query110,13154.975438117981,67.24069999999999,1160.5066,14315.942615129088,3526325.1492576194,0,9985.369205474854,0.0,1662.0546340942383,11648.216199874878,3511999.18282032,1,-501.54803409423835,-1.43,False
40,query7,22.07956314086914,103.22740000000002,1317.3175999999999,1339.8577401519774,3526325.1492576194,0,0.9886503219604492,0.0,1791.0788774490356,1792.8598880767822,3511999.18282032,1,-473.7612774490358,-1.36,False
41,query25,132.13930130004883,107.2082,3214.7653999999998,3347.3652783111575,3526325.1492576194,0,74.33407306671143,0.0,3652.2682905197144,3727.394723892212,3511999.18282032,1,-437.5028905197146,-1.14,False
42,query127,22385.159492492676,64.9309,1172.9637,23558.583769503784,3526325.1492576194,0,16188.970303535461,0.0,1606.9592237472534,17796.7218875885,3511999.18282032,1,-433.9955237472534,-1.37,False
43,query9,35.64465045928955,107.9731,2317.5888999999997,2353.6941274703977,3526325.1492576194,0,2.6353836059570312,0.0,2723.953127861023,2727.380871772766,3511999.18282032,1,-406.3642278610232,-1.18,False
44,query19,98.39692115783691,106.37010000000001,1305.6358,1404.4932981689453,3526325.1492576194,0,46.72248363494873,0.0,1682.259202003479,1729.7740459442139,3511999.18282032,1,-376.623402003479,-1.29,False
45,query11,46.97766304016113,107.56089999999999,2019.5201000000002,2066.9583400512697,3526325.1492576194,0,10.699701309204102,0.0,2373.7282752990723,2385.2203369140625,3511999.18282032,1,-354.2081752990721,-1.18,False
46,query20,103.35302352905273,104.8098,2320.9862000000003,2424.7998005401614,3526325.1492576194,0,50.957536697387695,0.0,2668.85769367218,2720.607590675354,3511999.18282032,1,-347.8714936721799,-1.15,False
47,query21,108.94906520843506,113.16929999999999,1906.3788,2015.7884422195434,3526325.1492576194,0,55.408453941345215,0.0,2234.856081008911,2291.0568952560425,3511999.18282032,1,-328.4772810089112,-1.17,False
48,query17,81.04367256164551,112.42439999999999,1214.4557,1295.9599495727539,3526325.1492576194,0,36.40091419219971,0.0,1537.6550436019897,1574.8483180999756,3511999.18282032,1,-323.19934360198977,-1.27,False
49,query109,12787.294101715088,64.41760000000001,1573.3069,14361.061578726196,3526325.1492576194,0,9848.237299919128,0.0,1878.1458377838135,11727.175498008728,3511999.18282032,1,-304.83893778381344,-1.19,False
50,query27,144.64268684387207,92.87780000000001,1674.9991999999997,1820.1024638549802,3526325.1492576194,0,83.71176719665527,0.0,1979.5843601226807,2064.088487625122,3511999.18282032,1,-304.5851601226809,-1.18,False
51,query106,12142.490100860596,15.081800000000001,8029.5724,20172.5230778717,3526325.1492576194,0,9445.136880874634,0.0,8322.75755405426,17768.68679523468,3511999.18282032,1,-293.18515405426024,-1.04,False
52,query61,2882.8086137771606,46.973699999999994,845.0496999999999,3728.3188907882695,3526325.1492576194,0,2996.2979793548584,0.0,1125.7737874984741,4122.864127159119,3511999.18282032,1,-280.7240874984742,-1.33,False
53,query62,2985.355067253113,44.708999999999996,256.1352,3241.950844264221,3526325.1492576194,0,3074.100089073181,0.0,514.5673274993896,3589.459776878357,3511999.18282032,1,-258.43212749938965,-2.01,False
54,query73,4142.13707447052,73.2989,1660.6133000000002,5803.210951481628,3526325.1492576194,0,3746.6882705688477,0.0,1909.0802431106567,5656.5608739852905,3511999.18282032,1,-248.46694311065653,-1.15,False
55,query18,86.4436388015747,108.74859999999998,2246.349,2333.2532158126833,3526325.1492576194,0,41.07348918914795,0.0,2492.134213447571,2534.000062942505,3511999.18282032,1,-245.78521344757064,-1.11,False
56,query26,138.01031112670898,89.6505,1607.2486000000001,1745.7194881378175,3526325.1492576194,0,78.82285118103027,0.0,1833.8761568069458,1913.4913682937622,3511999.18282032,1,-226.62755680694568,-1.14,False
57,query75,4517.410898208618,36.8451,4710.4318,9228.303275219727,3526325.1492576194,0,3955.2916765213013,0.0,4919.485926628113,8875.5699634552,3511999.18282032,1,-209.0541266281125,-1.04,False
58,query65,3270.7218170166016,47.6259,445.9557,3717.13809402771,3526325.1492576194,0,3281.5521478652954,0.0,638.850212097168,3921.1947202682495,3511999.18282032,1,-192.894512097168,-1.43,False
59,query118,16186.702013015747,7.785500000000001,1872.7965,18059.959090026856,3526325.1492576194,0,12176.915884017944,0.0,2034.9390506744385,14212.647294998169,3511999.18282032,1,-162.14255067443855,-1.09,False
60,query46,1835.9178066253662,72.7979,1564.7540000000001,3401.1323836364745,3526325.1492576194,0,2120.909285545349,0.0,1710.9495639801025,3832.651209831238,3511999.18282032,1,-146.1955639801024,-1.09,False
61,query95,9330.380249023438,29.0063,3836.4945999999995,13167.335426034546,3526325.1492576194,0,7393.638348579407,0.0,3972.36328125,11366.793990135193,3511999.18282032,1,-135.86868125000046,-1.04,False
62,query87,7771.06397151947,3.6268000000000002,669.7373,8441.261848530577,3526325.1492576194,0,6282.432246208191,0.0,792.2133922576904,7075.4379987716675,3511999.18282032,1,-122.47609225769042,-1.18,False
63,query117,15660.292196273804,8.9528,1635.4778000000001,17296.230573284913,3526325.1492576194,0,11695.24610042572,0.0,1738.1009101867676,13434.139370918274,3511999.18282032,1,-102.62311018676746,-1.06,False
64,query4,4.230022430419922,111.9387,3773.3144,3778.0049994415285,3526325.1492576194,0,1.295638084411621,0.0,3874.815607070923,3876.9036054611206,3511999.18282032,1,-101.50120707092265,-1.03,False
65,query3,0.9502649307250977,112.36189999999999,3959.4801999999995,3960.891041941833,3526325.1492576194,0,1.5639781951904297,0.0,4055.400323867798,4057.7566623687744,3511999.18282032,1,-95.92012386779834,-1.02,False
66,query76,4702.27198600769,42.2479,2344.1276,7046.860163018799,3526325.1492576194,0,4091.037678718567,0.0,2435.1510763168335,6526.9811153411865,3511999.18282032,1,-91.0234763168337,-1.04,False
67,query116,15117.276406288147,10.0429,2766.7136,17884.450583299255,3526325.1492576194,0,11495.42601108551,0.0,2856.478691101074,14352.69706249237,3511999.18282032,1,-89.76509110107418,-1.03,False
