index,query_id,start_time_x,planning_time_x,execution_time_x,execution_start_time_x,workload_time_x,ID_x,start_time_y,planning_time_y,execution_time_y,execution_start_time_y,workload_time_y,ID_y,diff,diffratio,PN
0,query126,20792.051315307617,16.8131,966846.8973999999,987639.4092923186,3526325.1492576194,0,3282.5095653533936,31.023,1361948.797,1365231.3065653534,3137398.7374305725,6,-395101.8996000001,-1.41,False
1,query43,1684.5052003860474,14.0173,5551.1375,7236.103277397156,3526325.1492576194,0,3282.5095653533936,12.929,370469.696,373752.2055653534,3137398.7374305725,6,-364918.5585,-66.74,False
2,query3,0.9502649307250977,112.36189999999999,3959.4801999999995,3960.891041941833,3526325.1492576194,0,3282.5095653533936,123.288,366198.872,369481.38156535337,3137398.7374305725,6,-362239.3918,-92.49,False
3,query56,2507.1149110794067,14.9372,17176.2546,19683.830088090515,3526325.1492576194,0,3282.5095653533936,34.465,378533.541,381816.0505653534,3137398.7374305725,6,-361357.28640000004,-22.04,False
4,query76,4702.27198600769,42.2479,2344.1276,7046.860163018799,3526325.1492576194,0,3282.5095653533936,38.936,363698.284,366980.7935653534,3137398.7374305725,6,-361354.1564,-155.15,False
5,query99,10405.322813987732,18.903200000000002,1788.902,12194.68539099884,3526325.1492576194,0,3282.5095653533936,11.023,363076.188,366358.6975653534,3137398.7374305725,6,-361287.286,-202.96,False
6,query24,125.99334716796875,99.2536,1128.6921,1255.1460241790771,3526325.1492576194,0,3282.5095653533936,168.72,361638.549,364921.0585653534,3137398.7374305725,6,-360509.8569,-320.4,False
7,query23,120.58737277984619,103.33,702.2454,823.2933497909546,3526325.1492576194,0,3282.5095653533936,168.455,361196.954,364479.4635653534,3137398.7374305725,6,-360494.7086,-514.35,False
8,query28,150.47390460968018,78.4123,14753.496599999999,14904.431081620787,3526325.1492576194,0,3282.5095653533936,96.208,375028.688,378311.1975653534,3137398.7374305725,6,-360275.1914,-25.42,False
9,query50,2070.366144180298,37.7144,3234.7311999999997,5305.557921191406,3526325.1492576194,0,3282.5095653533936,55.219,363492.543,366775.0525653534,3137398.7374305725,6,-360257.8118,-112.37,False
10,query9,35.64465045928955,107.9731,2317.5888999999997,2353.6941274703977,3526325.1492576194,0,3282.5095653533936,99.56,362485.533,365768.0425653534,3137398.7374305725,6,-360167.9441,-156.41,False
11,query86,7458.0825090408325,7.5665000000000004,998.4385,8456.981586051941,3526325.1492576194,0,3282.5095653533936,9.598,361141.203,364423.7125653534,3137398.7374305725,6,-360142.7645,-361.71,False
12,query81,5968.91622543335,3.8082000000000003,1884.3054,7853.682202444458,3526325.1492576194,0,3282.5095653533936,2.979,361941.439,365223.9485653534,3137398.7374305725,6,-360057.1336,-192.08,False
13,query78,5376.321172714233,40.9345,663.7954,6040.577149725342,3526325.1492576194,0,3282.5095653533936,42.38,360612.554,363895.0635653534,3137398.7374305725,6,-359948.7586,-543.26,False
14,query89,8171.659708023071,3.4265,1052.9567,9225.076985034179,3526325.1492576194,0,3282.5095653533936,3.339,360951.12,364233.6295653534,3137398.7374305725,6,-359898.1633,-342.8,False
15,query1,4.095315933227539,105.57919999999999,499.3335,503.88939294433595,3526325.1492576194,0,3282.5095653533936,108.118,360361.155,363643.6645653534,3137398.7374305725,6,-359861.8215,-721.68,False
16,query42,1646.0041522979736,8.7018,2107.2354,3753.700129309082,3526325.1492576194,0,3282.5095653533936,10.843,361764.136,365046.6455653534,3137398.7374305725,6,-359656.9006,-171.68,False
17,query103,11406.420350074768,18.9618,2581.5986000000003,13988.479527085878,3526325.1492576194,0,3282.5095653533936,27.571,362129.518,365412.0275653534,3137398.7374305725,6,-359547.91939999996,-140.27,False
18,query74,4312.532949447632,43.7552,24768.8105,29081.80402645874,3526325.1492576194,0,3282.5095653533936,38.108,383198.413,386480.9225653534,3137398.7374305725,6,-358429.6025,-15.47,False
19,query47,1879.7858953475952,45.207100000000004,42320.3385,44200.5849723587,3526325.1492576194,0,3282.5095653533936,45.941,390286.362,393568.8715653534,3137398.7374305725,6,-347966.0235,-9.22,False
20,query71,3808.0090522766113,69.74980000000001,42089.5836,45898.05322928772,3526325.1492576194,0,3282.5095653533936,98.812,389477.555,392760.0645653534,3137398.7374305725,6,-347387.9714,-9.25,False
21,query38,1436.8995428085327,17.8861,41052.2367,42489.59681981964,3526325.1492576194,0,2051.8062114715576,0.0,53178.03049087525,55229.83670234681,3137398.7374305725,6,-12125.79379087525,-1.3,False
22,query2,0.0,98.7025,2344.546,2345.006577011108,3526325.1492576194,0,0.0,0.0,5469.362258911133,5469.362258911133,3137398.7374305725,6,-3124.816258911133,-2.33,False
23,query66,3360.799527168274,53.6476,4565.6985,7926.958604179383,3526325.1492576194,0,4066.7665004730225,0.0,6005.934000015259,10072.700500488281,3137398.7374305725,6,-1440.2355000152584,-1.32,False
24,query46,1835.9178066253662,72.7979,1564.7540000000001,3401.1323836364745,3526325.1492576194,0,2361.402988433838,0.0,2629.81390953064,4991.2168979644775,3137398.7374305725,6,-1065.05990953064,-1.68,False
25,query18,86.4436388015747,108.74859999999998,2246.349,2333.2532158126833,3526325.1492576194,0,14.073610305786133,0.0,3131.1614513397217,3145.235061645508,3137398.7374305725,6,-884.8124513397215,-1.39,False
26,query12,53.64077091217041,117.35799999999999,1867.5106,1921.6119479232789,3526325.1492576194,0,5.563974380493164,0.0,2739.8314476013184,2745.3954219818115,3137398.7374305725,6,-872.3208476013183,-1.47,False
27,query14,65.06147384643555,114.6276,1131.7588,1197.280850857544,3526325.1492576194,0,5.260944366455078,0.0,2003.6942958831787,2008.9552402496338,3137398.7374305725,6,-871.9354958831786,-1.77,False
28,query6,15.50741195678711,98.8729,1328.1643,1344.1322889678954,3526325.1492576194,0,4.964590072631836,0.0,2155.7817459106445,2160.7463359832764,3137398.7374305725,6,-827.6174459106446,-1.62,False
29,query20,103.35302352905273,104.8098,2320.9862000000003,2424.7998005401614,3526325.1492576194,0,14.056205749511719,0.0,3137.768030166626,3151.8242359161377,3137398.7374305725,6,-816.7818301666257,-1.35,False
30,query10,41.01831912994385,108.51020000000001,2787.3357,2828.8145961410523,3526325.1492576194,0,5.357265472412109,0.0,3589.5040035247803,3594.8612689971924,3137398.7374305725,6,-802.1683035247802,-1.29,False
31,query16,75.70219039916992,106.81099999999999,1176.9666,1253.1293674102783,3526325.1492576194,0,5.740165710449219,0.0,1941.4193630218504,1947.1595287322996,3137398.7374305725,6,-764.4527630218504,-1.65,False
32,query19,98.39692115783691,106.37010000000001,1305.6358,1404.4932981689453,3526325.1492576194,0,13.994455337524414,0.0,2045.2723503112795,2059.2668056488037,3137398.7374305725,6,-739.6365503112795,-1.57,False
33,query17,81.04367256164551,112.42439999999999,1214.4557,1295.9599495727539,3526325.1492576194,0,13.951778411865234,0.0,1952.358722686768,1966.3105010986333,3137398.7374305725,6,-737.903022686768,-1.61,False
34,query7,22.07956314086914,103.22740000000002,1317.3175999999999,1339.8577401519774,3526325.1492576194,0,5.137920379638672,0.0,2042.1013832092283,2047.239303588867,3137398.7374305725,6,-724.7837832092284,-1.55,False
35,query13,59.375929832458496,115.2456,1230.5084,1290.3449068435668,3526325.1492576194,0,5.724191665649414,0.0,1942.1508312225344,1947.8750228881838,3137398.7374305725,6,-711.6424312225345,-1.58,False
