query_id,dbms,iteration,start_time,planning_time,execution_time
query1,SparkSQL,5,1773208366.1273272,0,13.67461609840393
query2,SparkSQL,5,1773208366.1273272,0,0.653313398361206
query3,SparkSQL,5,1773208366.1273272,0,5.55412745475769
query4,SparkSQL,5,1773208366.1273272,0,4.121190547943115
query5,SparkSQL,5,1773208366.1273272,0,9.127018451690674
query6,SparkSQL,5,1773208366.1273272,0,0.9594554901123048
query7,SparkSQL,5,1773208366.1273272,0,6.295235633850098
query8,SparkSQL,5,1773208366.1273272,0,3.0923142433166504
query9,SparkSQL,5,1773208366.1273272,0,0.5896401405334473
query10,SparkSQL,5,1773208366.1273272,0,4.583175897598267
query11,SparkSQL,5,1773208366.1273272,0,0.2216746807098388
query12,SparkSQL,5,1773208366.1273272,0,2.930905342102051
query13,SparkSQL,5,1773208366.1273272,0,5.767656564712524
query14,SparkSQL,5,1773208366.1273272,0,2.336151361465454
query15,SparkSQL,5,1773208366.1273272,0,2.819704055786133
query16,SparkSQL,5,1773208366.1273272,0,0.3233962059020996
query17,SparkSQL,5,1773208366.1273272,0,6.538554430007935
query18,SparkSQL,5,1773208366.1273272,0,9.0846586227417
query19,SparkSQL,5,1773208366.1273272,0,1.680476188659668
query20,SparkSQL,5,1773208366.1273272,0,1.2401320934295654
query21,SparkSQL,5,1773208366.1273272,0,10.358535289764404
query22,SparkSQL,5,1773208366.1273272,0,1.94645357131958
