query_id,dbms,iteration,start_time,planning_time,execution_time
1a,SparkSQL,5,1773226836.9483674,0,3.897018671035767
1b,SparkSQL,5,1773226836.9483674,0,1.949323654174805
1c,SparkSQL,5,1773226836.9483674,0,1.3528470993041992
1d,SparkSQL,5,1773226836.9483674,0,2.022111892700196
2a,SparkSQL,5,1773226836.9483674,0,2.3542253971099854
2b,SparkSQL,5,1773226836.9483674,0,1.0976130962371826
2c,SparkSQL,5,1773226836.9483674,0,1.314049243927002
2d,SparkSQL,5,1773226836.9483674,0,1.085263729095459
3a,SparkSQL,5,1773226836.9483674,0,1.5984737873077393
3b,SparkSQL,5,1773226836.9483674,0,1.13494873046875
3c,SparkSQL,5,1773226836.9483674,0,1.9081509113311768
4a,SparkSQL,5,1773226836.9483674,0,1.7617416381835938
4b,SparkSQL,5,1773226836.9483674,0,1.1260619163513184
4c,SparkSQL,5,1773226836.9483674,0,1.279383659362793
5a,SparkSQL,5,1773226836.9483674,0,0.7285430431365967
5b,SparkSQL,5,1773226836.9483674,0,1.355830192565918
5c,SparkSQL,5,1773226836.9483674,0,1.9944713115692136
6a,SparkSQL,5,1773226836.9483674,0,2.6016645431518555
6b,SparkSQL,5,1773226836.9483674,0,2.6853890419006348
6c,SparkSQL,5,1773226836.9483674,0,2.112347364425659
6d,SparkSQL,5,1773226836.9483674,0,3.7676281929016113
6e,SparkSQL,5,1773226836.9483674,0,2.674995183944702
6f,SparkSQL,5,1773226836.9483674,0,7.53845477104187
7a,SparkSQL,5,1773226836.9483674,0,2.7517402172088623
7b,SparkSQL,5,1773226836.9483674,0,2.180098056793213
7c,SparkSQL,5,1773226836.9483674,0,2.551092624664306
8a,SparkSQL,5,1773226836.9483674,0,1.8587884902954104
8b,SparkSQL,5,1773226836.9483674,0,1.8395612239837649
8c,SparkSQL,5,1773226836.9483674,0,2.280691385269165
8d,SparkSQL,5,1773226836.9483674,0,2.4189915657043457
9a,SparkSQL,5,1773226836.9483674,0,2.246755123138428
9b,SparkSQL,5,1773226836.9483674,0,2.433762788772583
9c,SparkSQL,5,1773226836.9483674,0,-1.0
9d,SparkSQL,5,1773226836.9483674,0,3.540547132492065
10a,SparkSQL,5,1773226836.9483674,0,1.779688596725464
10b,SparkSQL,5,1773226836.9483674,0,2.6684255599975586
10c,SparkSQL,5,1773226836.9483674,0,1.3394627571105957
11a,SparkSQL,5,1773226836.9483674,0,1.0469410419464111
11b,SparkSQL,5,1773226836.9483674,0,1.4838542938232422
11c,SparkSQL,5,1773226836.9483674,0,1.4350547790527344
11d,SparkSQL,5,1773226836.9483674,0,1.3253118991851809
12a,SparkSQL,5,1773226836.9483674,0,1.926938772201538
12b,SparkSQL,5,1773226836.9483674,0,2.2521002292633057
12c,SparkSQL,5,1773226836.9483674,0,2.056008815765381
13a,SparkSQL,5,1773226836.9483674,0,2.9324917793273926
13b,SparkSQL,5,1773226836.9483674,0,3.139005184173584
13c,SparkSQL,5,1773226836.9483674,0,1.6417593955993652
13d,SparkSQL,5,1773226836.9483674,0,2.850682020187378
14a,SparkSQL,5,1773226836.9483674,0,2.0110158920288086
14b,SparkSQL,5,1773226836.9483674,0,2.010891914367676
14c,SparkSQL,5,1773226836.9483674,0,2.4613149166107178
15a,SparkSQL,5,1773226836.9483674,0,1.3718528747558594
15b,SparkSQL,5,1773226836.9483674,0,1.949243307113648
15c,SparkSQL,5,1773226836.9483674,0,2.528125047683716
15d,SparkSQL,5,1773226836.9483674,0,2.151629686355591
16a,SparkSQL,5,1773226836.9483674,0,3.480940341949463
16b,SparkSQL,5,1773226836.9483674,0,3.721742391586304
16c,SparkSQL,5,1773226836.9483674,0,6.894539833068848
16d,SparkSQL,5,1773226836.9483674,0,4.620844841003418
17a,SparkSQL,5,1773226836.9483674,0,2.838287830352783
17b,SparkSQL,5,1773226836.9483674,0,2.5363385677337646
17c,SparkSQL,5,1773226836.9483674,0,1.8617119789123533
17d,SparkSQL,5,1773226836.9483674,0,2.7088658809661865
17e,SparkSQL,5,1773226836.9483674,0,3.910005569458008
17f,SparkSQL,5,1773226836.9483674,0,2.776188850402832
18a,SparkSQL,5,1773226836.9483674,0,2.948869705200196
18b,SparkSQL,5,1773226836.9483674,0,2.4099841117858887
18c,SparkSQL,5,1773226836.9483674,0,2.211955308914185
19a,SparkSQL,5,1773226836.9483674,0,2.482240676879883
19b,SparkSQL,5,1773226836.9483674,0,4.086505651473999
19c,SparkSQL,5,1773226836.9483674,0,3.16761326789856
19d,SparkSQL,5,1773226836.9483674,0,3.667449712753296
20a,SparkSQL,5,1773226836.9483674,0,3.232985258102417
20b,SparkSQL,5,1773226836.9483674,0,2.360161304473877
20c,SparkSQL,5,1773226836.9483674,0,4.256345510482788
21a,SparkSQL,5,1773226836.9483674,0,1.7836682796478271
21b,SparkSQL,5,1773226836.9483674,0,1.5785760879516602
21c,SparkSQL,5,1773226836.9483674,0,2.3593690395355225
22a,SparkSQL,5,1773226836.9483674,0,2.176321029663086
22b,SparkSQL,5,1773226836.9483674,0,1.3915174007415771
22c,SparkSQL,5,1773226836.9483674,0,2.227255821228028
22d,SparkSQL,5,1773226836.9483674,0,2.6980679035186768
23a,SparkSQL,5,1773226836.9483674,0,1.7100956439971924
23b,SparkSQL,5,1773226836.9483674,0,0.9700462818145752
23c,SparkSQL,5,1773226836.9483674,0,1.420295238494873
24a,SparkSQL,5,1773226836.9483674,0,2.983372926712036
24b,SparkSQL,5,1773226836.9483674,0,3.4604504108428955
25a,SparkSQL,5,1773226836.9483674,0,3.123787879943848
25b,SparkSQL,5,1773226836.9483674,0,2.8628182411193848
25c,SparkSQL,5,1773226836.9483674,0,3.1356146335601807
26a,SparkSQL,5,1773226836.9483674,0,3.5626165866851807
26b,SparkSQL,5,1773226836.9483674,0,2.2484686374664307
26c,SparkSQL,5,1773226836.9483674,0,2.058850049972534
27a,SparkSQL,5,1773226836.9483674,0,1.5935027599334717
27b,SparkSQL,5,1773226836.9483674,0,1.3634562492370603
27c,SparkSQL,5,1773226836.9483674,0,1.8838484287261963
28a,SparkSQL,5,1773226836.9483674,0,2.1397271156311035
28b,SparkSQL,5,1773226836.9483674,0,2.093611717224121
28c,SparkSQL,5,1773226836.9483674,0,2.134374618530273
29a,SparkSQL,5,1773226836.9483674,0,3.110894203186035
29b,SparkSQL,5,1773226836.9483674,0,2.824368715286255
29c,SparkSQL,5,1773226836.9483674,0,3.264526844024658
30a,SparkSQL,5,1773226836.9483674,0,3.195788145065308
30b,SparkSQL,5,1773226836.9483674,0,1.875771760940552
30c,SparkSQL,5,1773226836.9483674,0,2.88834285736084
31a,SparkSQL,5,1773226836.9483674,0,2.658066987991333
31b,SparkSQL,5,1773226836.9483674,0,2.604344606399536
31c,SparkSQL,5,1773226836.9483674,0,3.323551177978516
32a,SparkSQL,5,1773226836.9483674,0,0.5892238616943359
32b,SparkSQL,5,1773226836.9483674,0,1.2421047687530518
33a,SparkSQL,5,1773226836.9483674,0,1.927934169769287
33b,SparkSQL,5,1773226836.9483674,0,1.7288506031036377
33c,SparkSQL,5,1773226836.9483674,0,2.278568983078003
