query_id,dbms,iteration,start_time,planning_time,execution_time
1a,SparkSQL,4,1773226551.4703758,0,4.1030707359313965
1b,SparkSQL,4,1773226551.4703758,0,1.8501851558685305
1c,SparkSQL,4,1773226551.4703758,0,1.004995584487915
1d,SparkSQL,4,1773226551.4703758,0,2.5843307971954346
2a,SparkSQL,4,1773226551.4703758,0,2.395183801651001
2b,SparkSQL,4,1773226551.4703758,0,0.9600505828857422
2c,SparkSQL,4,1773226551.4703758,0,1.3250524997711182
2d,SparkSQL,4,1773226551.4703758,0,1.1624460220336914
3a,SparkSQL,4,1773226551.4703758,0,1.586442947387695
3b,SparkSQL,4,1773226551.4703758,0,1.317162036895752
3c,SparkSQL,4,1773226551.4703758,0,2.13134241104126
4a,SparkSQL,4,1773226551.4703758,0,1.3005521297454834
4b,SparkSQL,4,1773226551.4703758,0,1.210615634918213
4c,SparkSQL,4,1773226551.4703758,0,1.3652276992797852
5a,SparkSQL,4,1773226551.4703758,0,0.9266085624694824
5b,SparkSQL,4,1773226551.4703758,0,0.915416955947876
5c,SparkSQL,4,1773226551.4703758,0,1.8358299732208248
6a,SparkSQL,4,1773226551.4703758,0,2.4979565143585205
6b,SparkSQL,4,1773226551.4703758,0,2.8621246814727783
6c,SparkSQL,4,1773226551.4703758,0,2.499887704849243
6d,SparkSQL,4,1773226551.4703758,0,3.958423852920532
6e,SparkSQL,4,1773226551.4703758,0,3.1703076362609863
6f,SparkSQL,4,1773226551.4703758,0,6.7398717403411865
7a,SparkSQL,4,1773226551.4703758,0,2.5570192337036133
7b,SparkSQL,4,1773226551.4703758,0,1.9397389888763428
7c,SparkSQL,4,1773226551.4703758,0,2.0940749645233154
8a,SparkSQL,4,1773226551.4703758,0,2.150720834732056
8b,SparkSQL,4,1773226551.4703758,0,1.9691162109375
8c,SparkSQL,4,1773226551.4703758,0,2.6200618743896484
8d,SparkSQL,4,1773226551.4703758,0,2.500673532485962
9a,SparkSQL,4,1773226551.4703758,0,2.2782082557678223
9b,SparkSQL,4,1773226551.4703758,0,2.476937055587769
9c,SparkSQL,4,1773226551.4703758,0,-1.0
9d,SparkSQL,4,1773226551.4703758,0,3.6582651138305664
10a,SparkSQL,4,1773226551.4703758,0,2.030889749526977
10b,SparkSQL,4,1773226551.4703758,0,2.3779900074005127
10c,SparkSQL,4,1773226551.4703758,0,1.4310035705566406
11a,SparkSQL,4,1773226551.4703758,0,1.1557159423828125
11b,SparkSQL,4,1773226551.4703758,0,1.619617223739624
11c,SparkSQL,4,1773226551.4703758,0,1.3109652996063232
11d,SparkSQL,4,1773226551.4703758,0,1.4061036109924316
12a,SparkSQL,4,1773226551.4703758,0,1.9718492031097408
12b,SparkSQL,4,1773226551.4703758,0,2.5252065658569336
12c,SparkSQL,4,1773226551.4703758,0,2.178736448287964
13a,SparkSQL,4,1773226551.4703758,0,3.250391721725464
13b,SparkSQL,4,1773226551.4703758,0,2.96359658241272
13c,SparkSQL,4,1773226551.4703758,0,1.6825783252716064
13d,SparkSQL,4,1773226551.4703758,0,2.7969720363616943
14a,SparkSQL,4,1773226551.4703758,0,1.91907811164856
14b,SparkSQL,4,1773226551.4703758,0,2.0347228050231934
14c,SparkSQL,4,1773226551.4703758,0,2.3518497943878174
15a,SparkSQL,4,1773226551.4703758,0,1.539475440979004
15b,SparkSQL,4,1773226551.4703758,0,2.016122341156006
15c,SparkSQL,4,1773226551.4703758,0,2.083873748779297
15d,SparkSQL,4,1773226551.4703758,0,2.190467357635498
16a,SparkSQL,4,1773226551.4703758,0,3.458245038986206
16b,SparkSQL,4,1773226551.4703758,0,3.910114765167236
16c,SparkSQL,4,1773226551.4703758,0,7.69289755821228
16d,SparkSQL,4,1773226551.4703758,0,4.737980365753174
17a,SparkSQL,4,1773226551.4703758,0,2.645750045776367
17b,SparkSQL,4,1773226551.4703758,0,2.323814392089844
17c,SparkSQL,4,1773226551.4703758,0,1.928839445114136
17d,SparkSQL,4,1773226551.4703758,0,2.714878559112549
17e,SparkSQL,4,1773226551.4703758,0,3.727468967437744
17f,SparkSQL,4,1773226551.4703758,0,2.886693000793457
18a,SparkSQL,4,1773226551.4703758,0,2.784684658050537
18b,SparkSQL,4,1773226551.4703758,0,1.6949288845062256
18c,SparkSQL,4,1773226551.4703758,0,2.1105523109436035
19a,SparkSQL,4,1773226551.4703758,0,2.9302847385406494
19b,SparkSQL,4,1773226551.4703758,0,2.738023281097412
19c,SparkSQL,4,1773226551.4703758,0,3.271523952484131
19d,SparkSQL,4,1773226551.4703758,0,3.602123737335205
20a,SparkSQL,4,1773226551.4703758,0,2.6960060596466064
20b,SparkSQL,4,1773226551.4703758,0,2.377159833908081
20c,SparkSQL,4,1773226551.4703758,0,4.523861408233643
21a,SparkSQL,4,1773226551.4703758,0,1.8270015716552728
21b,SparkSQL,4,1773226551.4703758,0,1.5979654788970947
21c,SparkSQL,4,1773226551.4703758,0,2.415825366973877
22a,SparkSQL,4,1773226551.4703758,0,2.2009975910186768
22b,SparkSQL,4,1773226551.4703758,0,1.5886495113372805
22c,SparkSQL,4,1773226551.4703758,0,2.3790621757507324
22d,SparkSQL,4,1773226551.4703758,0,2.338578939437866
23a,SparkSQL,4,1773226551.4703758,0,1.6810684204101562
23b,SparkSQL,4,1773226551.4703758,0,0.9879107475280762
23c,SparkSQL,4,1773226551.4703758,0,1.6007890701293943
24a,SparkSQL,4,1773226551.4703758,0,2.996114492416382
24b,SparkSQL,4,1773226551.4703758,0,3.540489435195923
25a,SparkSQL,4,1773226551.4703758,0,3.381131887435913
25b,SparkSQL,4,1773226551.4703758,0,2.9755091667175293
25c,SparkSQL,4,1773226551.4703758,0,2.7010977268218994
26a,SparkSQL,4,1773226551.4703758,0,4.091078519821167
26b,SparkSQL,4,1773226551.4703758,0,2.1838064193725586
26c,SparkSQL,4,1773226551.4703758,0,2.2857344150543213
27a,SparkSQL,4,1773226551.4703758,0,1.3298959732055664
27b,SparkSQL,4,1773226551.4703758,0,1.4459593296051023
27c,SparkSQL,4,1773226551.4703758,0,2.0374388694763184
28a,SparkSQL,4,1773226551.4703758,0,2.74027681350708
28b,SparkSQL,4,1773226551.4703758,0,2.2357656955718994
28c,SparkSQL,4,1773226551.4703758,0,2.292072057723999
29a,SparkSQL,4,1773226551.4703758,0,2.9718017578125
29b,SparkSQL,4,1773226551.4703758,0,3.1559197902679443
29c,SparkSQL,4,1773226551.4703758,0,3.53594970703125
30a,SparkSQL,4,1773226551.4703758,0,3.449488878250122
30b,SparkSQL,4,1773226551.4703758,0,1.8010125160217283
30c,SparkSQL,4,1773226551.4703758,0,3.112858533859253
31a,SparkSQL,4,1773226551.4703758,0,2.2404093742370605
31b,SparkSQL,4,1773226551.4703758,0,2.6623308658599854
31c,SparkSQL,4,1773226551.4703758,0,3.323105335235596
32a,SparkSQL,4,1773226551.4703758,0,0.6040475368499756
